Sunrise,Sunset,Start_astronomical_twilight,End_astronomical_twilight,Start_nautical_twilight,End_nautical_twilight,Start_civil_twilight,End_civil_twilight,solar_noon_Time,Year,Month,Day,sun_hours,civil_sun_hours,sun_hours_diff_in_minutes
07:49,18:22,06:16,19:55,06:48,19:23,07:20,18:50,13:05,2022,2,13,10.5561,11.5,2.52
07:47,18:23,06:14,19:56,06:46,19:24,07:19,18:52,13:05,2022,2,14,10.5983,11.55,2.53
07:46,18:24,06:13,19:57,06:45,19:25,07:18,18:53,13:05,2022,2,15,10.6411,11.5833,2.55
07:45,18:26,06:12,19:58,06:44,19:26,07:16,18:54,13:05,2022,2,16,10.6842,11.6333,2.57
07:43,18:27,06:11,20:00,06:43,19:27,07:15,18:55,13:05,2022,2,17,10.7272,11.6667,2.58
07:42,18:28,06:09,20:01,06:41,19:29,07:14,18:56,13:05,2022,2,18,10.7708,11.7,2.6
07:40,18:29,06:08,20:02,06:40,19:30,07:12,18:57,13:05,2022,2,19,10.8144,11.75,2.62
07:39,18:31,06:07,20:03,06:39,19:31,07:11,18:59,13:04,2022,2,20,10.8583,11.8,2.63
07:38,18:32,06:05,20:04,06:37,19:32,07:10,19:00,13:04,2022,2,21,10.9025,11.8333,2.63
07:36,18:33,06:04,20:05,06:36,19:33,07:08,19:01,13:04,2022,2,22,10.9467,11.8833,2.65
07:35,18:34,06:03,20:06,06:35,19:34,07:07,19:02,13:04,2022,2,23,10.9914,11.9167,2.67
07:33,18:35,06:01,20:07,06:33,19:35,07:05,19:03,13:04,2022,2,24,11.0361,11.9667,2.67
07:32,18:37,06:00,20:09,06:32,19:37,07:04,19:04,13:04,2022,2,25,11.0808,12.0,2.68
07:30,18:38,05:58,20:10,06:30,19:38,07:02,19:06,13:04,2022,2,26,11.1258,12.0667,2.7
07:29,18:39,05:57,20:11,06:29,19:39,07:01,19:07,13:03,2022,2,27,11.1711,12.1,2.7
07:27,18:40,05:55,20:12,06:27,19:40,06:59,19:08,13:03,2022,2,28,11.2164,12.15,2.72
