Hour,humidity_percent,condition,temp_celsius,precip_mm,pressure_hPa,Year,Month,Day
23:30:00,83.0,fair,22.22,0.0,1018.29,2023,9,27
00:00:00,83.0,fair,22.22,0.0,1018.29,2023,9,28
00:30:00,88.0,fair,21.11,0.0,1018.29,2023,9,28
01:00:00,88.0,fair,21.11,0.0,1018.29,2023,9,28
01:30:00,88.0,fair,21.11,0.0,1018.29,2023,9,28
02:00:00,83.0,fair,21.11,0.0,1018.29,2023,9,28
02:30:00,83.0,fair,21.11,0.0,1018.29,2023,9,28
03:00:00,88.0,fair,20.0,0.0,1018.29,2023,9,28
03:30:00,88.0,fair,20.0,0.0,1017.27,2023,9,28
04:00:00,88.0,fair,20.0,0.0,1018.29,2023,9,28
04:30:00,88.0,fair,20.0,0.0,1017.27,2023,9,28
05:00:00,88.0,fair,20.0,0.0,1017.27,2023,9,28
05:30:00,88.0,fair,20.0,0.0,1017.27,2023,9,28
06:00:00,94.0,fair,18.89,0.0,1017.27,2023,9,28
06:30:00,94.0,fair,18.89,0.0,1018.29,2023,9,28
07:00:00,88.0,fair,18.89,0.0,1018.29,2023,9,28
07:30:00,88.0,fair,18.89,0.0,1018.29,2023,9,28
08:00:00,83.0,fair,18.89,0.0,1018.29,2023,9,28
08:30:00,83.0,fair,18.89,0.0,1018.29,2023,9,28
09:00:00,83.0,fair,20.0,0.0,1018.29,2023,9,28
