id,type,ebox_id,lat,lon
AA0000018ABE,light,BB000519011F,41.277132,1.70726
AA0000018ABF,light,BB000519011F,41.276784,1.706292
AA0000018AC0,light,BB000519011F,41.276636,1.705598
AA0000018AC1,light,BB000519011F,41.276948,1.707023
AA0000018AC2,light,BB000519011F,41.276556,1.704849
AA0000018AC3,light,BB000519011F,41.276756,1.704146
AA0000018AC4,light,BB000519011F,41.276968,1.703506
AA0000018AC5,light,BB000519011F,41.2768,1.703765
AA0000018AC6,light,BB000519011F,41.276616,1.70445
AA0000018AC7,light,BB000519011F,41.276544,1.705276
AA0000018AC8,light,BB000519011F,41.277244,1.706052
AA0000018AC9,light,BB000519011F,41.277312,1.706823
AA0000018ACA,light,BB000519011F,41.277264,1.707483
AA0000018ACB,light,BB000519011F,41.277272,1.706436
AA0000018ACC,light,BB000519011F,41.277232,1.705661
AA0000018ACD,light,BB000519011F,41.277344,1.707217
AA0000018ACE,light,BB000519011F,41.277456,1.703817
AA0000018ACF,light,BB000519011F,41.277248,1.705304
AA0000018AD0,light,BB000519011F,41.27734,1.704206
AA0000018AD1,light,BB000519011F,41.277296,1.704618
AA0000018AD2,light,BB000519011F,41.277552,1.703593
AA0000018AD3,light,BB000519011F,41.277272,1.704982
AA0000018AD4,light,BB000519011F,41.277336,1.701972
AA0000018AD5,light,BB000519011F,41.277592,1.702537
AA0000018AD6,light,BB000519011F,41.27754,1.703338
AA0000018AD7,light,BB000519011F,41.277544,1.702153
AA0000018AD8,light,BB000519011F,41.27712,1.702064
AA0000018AE6,light,AA0000011681,41.278,1.726823
AA0000018AE7,light,AA0000011681,41.27768,1.727215
AA0000018AE8,light,AA0000011681,41.277336,1.727689
AA0000018AE9,light,AA0000011681,41.278168,1.726531
AA0000018AEA,light,AA0000011681,41.27784,1.727017
AA0000018AEB,light,AA0000011681,41.277516,1.727445
AA0000018AEC,light,AA0000011681,41.274508,1.727824
AA0000018AED,light,AA0000011681,41.27812,1.72569
AA0000018AEE,light,AA0000011681,41.278232,1.726258
AA0000018AEF,light,AA0000011681,41.274304,1.727777
AA0000018AF0,light,AA0000011681,41.274672,1.727866
AA0000018AF1,light,AA0000011681,41.278228,1.725932
AA0000018AF2,light,BB000519011F,41.2763,1.702809
AA0000018AF3,light,BB000519011F,41.277256,1.708282
AA0000018AF4,light,BB000519011F,41.277016,1.708472
AA0000018AF5,light,BB000519011F,41.277052,1.708724
AA0000018AF6,light,BB000519011F,41.277216,1.708943
AA0000018AF7,light,BB000519011F,41.277368,1.709227
AA0000018AF8,light,AA0000011681,41.275536,1.728396
AA0000018AF9,light,AA0000011681,41.27592,1.727933
AA0000018AFA,light,AA0000011681,41.276356,1.727638
AA0000018AFB,light,AA0000011681,41.27536,1.728617
AA0000018AFC,light,AA0000011681,41.275732,1.728164
AA0000018AFD,light,AA0000011681,41.276092,1.727802
AA0000018AFE,light,AA0000011681,41.271756,1.728235
AA0000018B01,light,AA0000011681,41.27132,1.728539
AA0000018B02,light,AA0000011681,41.2709,1.728815
AA0000018B03,light,AA0000011681,41.272012,1.728064
AA0000018B04,light,AA0000011681,41.271536,1.728388
AA0000018B05,light,AA0000011681,41.271124,1.728661
AA0000018B06,light,AA0000011681,41.270436,1.729141
AA0000018B07,light,AA0000011681,41.274952,1.728489
AA0000018B08,light,AA0000011681,41.275236,1.728763
AA0000018B09,light,AA0000011681,41.27064,1.728979
AA0000018B0A,light,AA0000011681,41.274832,1.72817
AA0000018B0B,light,AA0000011681,41.275088,1.728757
AA0000018B0C,light,AA0000011681,41.275728,1.729179
AA0000018B0D,light,AA0000011681,41.275296,1.728961
AA0000018B0E,light,AA0000011681,41.277724,1.726128
AA0000018B0F,light,AA0000011681,41.275936,1.729136
AA0000018B10,light,AA0000011681,41.275496,1.729086
AA0000018B11,light,AA0000011681,41.277896,1.725835
AA0000018B12,light,AA0000011681,41.276992,1.728166
AA0000018B13,light,AA0000011681,41.276628,1.728621
AA0000018B14,light,AA0000011681,41.276192,1.729012
AA0000018B15,light,AA0000011681,41.27716,1.727938
AA0000018B16,light,AA0000011681,41.276824,1.728401
AA0000018B17,light,AA0000011681,41.276416,1.72883
AA0000018B18,light,BB000519011F,41.275312,1.704822
AA0000018B19,light,BB000519011F,41.275048,1.704845
AA0000018B1A,light,BB000519011F,41.276328,1.705166
AA0000018B1B,light,BB000519011F,41.276136,1.704966
AA0000018B1C,light,BB000519011F,41.275936,1.704693
AA0000018B1D,light,BB000519011F,41.27562,1.704702
AA0000018B1E,light,AA0000011681,41.270096,1.728418
AA0000018B1F,light,AA0000011681,41.270596,1.72833
AA0000018B20,light,AA0000011681,41.271,1.727911
AA0000018B21,light,AA0000011681,41.269916,1.728645
AA0000018B22,light,AA0000011681,41.270352,1.728356
AA0000018B23,light,AA0000011681,41.270824,1.728157
AA0000018B24,light,AA0000011681,41.277084,1.726887
AA0000018B25,light,BB000519011F,41.276532,1.707638
AA0000018B26,light,BB000519011F,41.276368,1.707224
AA0000018B27,light,AA0000011681,41.274108,1.72775
AA0000018B28,light,BB000519011F,41.276228,1.706903
AA0000018B29,light,BB000519011F,41.27612,1.706478
AA0000018B2A,light,AA0000011681,41.27284,1.726605
AA0000018B2B,light,AA0000011681,41.273312,1.726751
AA0000018B2C,light,AA0000011681,41.274328,1.72648
AA0000018B2D,light,AA0000011681,41.27262,1.726755
AA0000018B2E,light,AA0000011681,41.273096,1.726617
AA0000018B36,light,AA0000011681,41.270084,1.732055
AA0000018B37,light,AA0000011681,41.269776,1.731598
AA0000018B38,light,AA0000011681,41.269732,1.730958
AA0000018B39,light,AA0000011681,41.270344,1.732105
AA0000018B3A,light,AA0000011681,41.269904,1.731864
AA0000018B3B,light,AA0000011681,41.26972,1.731311
AA0000018B3C,light,BB000519011F,41.27574,1.705559
AA0000018B3D,light,BB000519011F,41.275588,1.705249
AA0000018B3E,light,BB000519011F,41.275628,1.704889
AA0000018B3F,light,BB000519011F,41.276448,1.705533
AA0000018B40,light,BB000519011F,41.276,1.706165
AA0000018B42,light,AA0000011681,41.269776,1.730318
AA0000018B43,light,AA0000011681,41.269848,1.729578
AA0000018B44,light,AA0000011681,41.269892,1.728963
AA0000018B45,light,AA0000011681,41.269744,1.730639
AA0000018B46,light,AA0000011681,41.269812,1.729965
AA0000018B47,light,AA0000011681,41.269888,1.72929
AA0000018B48,light,AA00000112BE,41.297148,1.71335
AA0000018B49,light,AA00000112BE,41.2977,1.713271
AA0000018B4A,light,AA00000112BE,41.298376,1.715599
AA0000018B4B,light,BB000519011F,41.276688,1.703882
AA0000018B4C,light,AA00000112BE,41.297976,1.715488
AA0000018B4D,light,AA00000112BE,41.297616,1.714574
AA0000018B4E,light,AA00000112BE,41.297452,1.714165
AA0000018B4F,light,AA00000112BE,41.29728,1.713702
AA0000018B50,light,AA00000112BE,41.297896,1.713785
AA0000018B51,light,AA00000112BE,41.298048,1.714183
AA0000018B52,light,AA00000112BE,41.298192,1.714578
AA0000018B53,light,AA00000112BE,41.298344,1.714959
AA0000018B54,light,AA00000112BE,41.298504,1.715351
AA0000018B55,light,AA00000112BE,41.298624,1.715685
AA0000018B56,light,AA00000112BE,41.298768,1.716076
AA0000018B57,light,AA00000112BE,41.298896,1.716408
AA0000018B58,light,AA00000112BE,41.299052,1.716794
AA0000018B59,light,AA00000112BE,41.299196,1.717198
AA0000018B5D,light,BB000519011F,41.274292,1.710318
AA0000018B5E,light,BB000519011F,41.276632,1.70785
AA0000018B5F,light,AA0000011276,41.27026,1.736089
AA0000018B66,light,AA0000011681,41.27144,1.727538
AA0000018B67,light,AA0000011681,41.271908,1.727233
AA0000018B68,light,AA0000011681,41.272392,1.726921
AA0000018B69,light,AA0000011681,41.271212,1.727685
AA0000018B6A,light,AA0000011681,41.271676,1.727384
AA0000018B6B,light,AA0000011681,41.272152,1.727096
AA0000018B6C,light,AA0000011681,41.27684,1.727362
AA0000018B6D,light,AA0000011681,41.277016,1.727124
AA0000018B6E,light,AA000001167D,41.274704,1.729424
AA0000018B6F,light,AA0000011681,41.27738,1.726647
AA0000018B70,light,AA0000011290,41.286072,1.72392
AA0000018B71,light,AA0000011290,41.285036,1.723893
AA0000018B73,light,AA0000011290,41.286932,1.723986
AA0000018B74,light,AA0000011290,41.2856,1.723858
AA0000018B75,light,AA0000011290,41.284888,1.723957
AA0000018B76,light,AA0000011290,41.284264,1.723742
AA0000018B77,light,AA0000011290,41.283668,1.721897
AA0000018B78,light,AA0000011290,41.283116,1.722529
AA0000018B79,light,AA0000011290,41.284512,1.723801
AA0000018B7A,light,AA0000011290,41.283632,1.722138
AA0000018B7B,light,AA0000011290,41.28298,1.722532
AA0000018B7C,light,AA0000011290,41.28312,1.722944
AA0000018B7D,light,AA0000011290,41.283348,1.722973
