Date,light_price_kwh,Year,Month,Day,Hour,Moonset,Moonrise,moon_hours,moon_illumination_percent,moon_distance,moon_phase,Sunrise,Sunset,Start_civil_twilight,End_civil_twilight,sun_hours,condition,precip_percent,cloud_cover_percent,humidity_percent,temp_celsius,precip_mm,pressure_hPa,upper_light_price_mean,is_night,is_day,needs_artif_light,moon_phase_mult,events_titles,events_locations,events_descriptions,events_zones,events_lats,events_lons,id_list,type_list,ebox_id_list,coordinates_list
2023-09-28,0.14982,2023,9,28,20:00:00,06:14:00,19:26:00,13.2,96.7,359.92,First Quarter,07:44:00,19:38:00,07:16,20:06,11.9067,clear,7.0,10.0,78.0,22.22,0.0,1018.96,True,False,False,False,2,,,,,,,"['AA0000014840', 'AA0000014841', 'AA0000014842', 'AA0000014847', 'AA0000014881']","['light', 'light', 'light', 'light', 'light']","['BB000519015E', 'BB000519015E', 'BB000519015E', 'BB000519015E', 'BB000519015E']","[""{'lat': 41.27778, 'lon': 1.73816}"", ""{'lat': 41.277752, 'lon': 1.738176}"", ""{'lat': 41.277716, 'lon': 1.738164}"", ""{'lat': 41.277712, 'lon': 1.738565}"", ""{'lat': 41.277652, 'lon': 1.738601}""]"
2023-09-28,0.14961,2023,9,28,21:00:00,06:14:00,19:26:00,13.2,96.7,359.92,First Quarter,07:44:00,19:38:00,07:16,20:06,11.9067,clear,11.0,6.0,84.0,21.67,0.0,1019.3,False,False,False,True,2,,,,,,,"['AA0000014840', 'AA0000014841', 'AA0000014842', 'AA0000014847', 'AA0000014881']","['light', 'light', 'light', 'light', 'light']","['BB000519015E', 'BB000519015E', 'BB000519015E', 'BB000519015E', 'BB000519015E']","[""{'lat': 41.27778, 'lon': 1.73816}"", ""{'lat': 41.277752, 'lon': 1.738176}"", ""{'lat': 41.277716, 'lon': 1.738164}"", ""{'lat': 41.277712, 'lon': 1.738565}"", ""{'lat': 41.277652, 'lon': 1.738601}""]"
2023-09-28,0.14887,2023,9,28,22:00:00,06:14:00,19:26:00,13.2,96.7,359.92,First Quarter,07:44:00,19:38:00,07:16,20:06,11.9067,clear,12.0,3.0,87.0,21.11,0.0,1019.98,False,False,False,True,2,,,,,,,"['AA0000014840', 'AA0000014841', 'AA0000014842', 'AA0000014847', 'AA0000014881']","['light', 'light', 'light', 'light', 'light']","['BB000519015E', 'BB000519015E', 'BB000519015E', 'BB000519015E', 'BB000519015E']","[""{'lat': 41.27778, 'lon': 1.73816}"", ""{'lat': 41.277752, 'lon': 1.738176}"", ""{'lat': 41.277716, 'lon': 1.738164}"", ""{'lat': 41.277712, 'lon': 1.738565}"", ""{'lat': 41.277652, 'lon': 1.738601}""]"
2023-09-28,0.15021,2023,9,28,23:00:00,06:14:00,19:26:00,13.2,96.7,359.92,First Quarter,07:44:00,19:38:00,07:16,20:06,11.9067,clear,12.0,3.0,90.0,20.0,0.0,1020.32,True,False,False,True,2,,,,,,,"['AA0000014840', 'AA0000014841', 'AA0000014842', 'AA0000014847', 'AA0000014881']","['light', 'light', 'light', 'light', 'light']","['BB000519015E', 'BB000519015E', 'BB000519015E', 'BB000519015E', 'BB000519015E']","[""{'lat': 41.27778, 'lon': 1.73816}"", ""{'lat': 41.277752, 'lon': 1.738176}"", ""{'lat': 41.277716, 'lon': 1.738164}"", ""{'lat': 41.277712, 'lon': 1.738565}"", ""{'lat': 41.277652, 'lon': 1.738601}""]"
