Hour,humidity_percent,condition,temp_celsius,precip_mm,pressure_hPa,Year,Month,Day
17:30:00,78.0,fair,26.11,0.0,1015.24,2023,6,25
18:00:00,74.0,fair,27.22,0.0,1015.24,2023,6,25
18:30:00,74.0,fair,27.22,0.0,1015.24,2023,6,25
19:00:00,74.0,fair,26.11,0.0,1015.24,2023,6,25
19:30:00,74.0,fair,26.11,0.0,1015.24,2023,6,25
20:00:00,74.0,fair,26.11,0.0,1015.24,2023,6,25
20:30:00,78.0,fair,26.11,0.0,1015.24,2023,6,25
21:00:00,83.0,fair,25.0,0.0,1016.26,2023,6,25
21:30:00,83.0,fair,25.0,0.0,1016.26,2023,6,25
22:00:00,89.0,fair,23.89,0.0,1016.26,2023,6,25
22:30:00,89.0,fair,23.89,0.0,1017.27,2023,6,25
23:00:00,89.0,fair,23.89,0.0,1017.27,2023,6,25
23:30:00,94.0,fair,23.89,0.0,1017.27,2023,6,25
00:00:00,89.0,fair,23.89,0.0,1017.27,2023,6,26
00:30:00,100.0,fair,22.78,0.0,1017.27,2023,6,26
01:00:00,94.0,fair,22.78,0.0,1017.27,2023,6,26
01:30:00,94.0,fair,22.78,0.0,1017.27,2023,6,26
02:00:00,94.0,fair,22.78,0.0,1017.27,2023,6,26
02:30:00,88.0,fair,22.78,0.0,1017.27,2023,6,26
03:00:00,94.0,fair,22.22,0.0,1017.27,2023,6,26
03:30:00,88.0,fair,22.78,0.0,1016.26,2023,6,26
04:00:00,83.0,fair,22.78,0.0,1016.26,2023,6,26
04:30:00,78.0,fair,22.78,0.0,1016.26,2023,6,26
05:00:00,83.0,fair,22.78,0.0,1016.26,2023,6,26
05:30:00,88.0,fair,22.78,0.0,1016.26,2023,6,26
06:00:00,88.0,fair,22.78,0.0,1016.26,2023,6,26
06:30:00,73.0,fair,22.78,0.0,1016.26,2023,6,26
07:00:00,73.0,fair,22.78,0.0,1016.26,2023,6,26
07:30:00,73.0,fair,22.78,0.0,1016.26,2023,6,26
08:00:00,57.0,fair,23.89,0.0,1016.26,2023,6,26
08:30:00,54.0,fair,25.0,0.0,1016.26,2023,6,26
09:00:00,78.0,fair,25.0,0.0,1017.27,2023,6,26
09:30:00,74.0,fair,25.0,0.0,1017.27,2023,6,26
10:00:00,65.0,fair,27.22,0.0,1017.27,2023,6,26
10:30:00,69.0,fair,26.11,0.0,1017.27,2023,6,26
11:00:00,69.0,fair,26.11,0.0,1017.27,2023,6,26
11:30:00,74.0,fair,26.11,0.0,1017.27,2023,6,26
12:00:00,65.0,fair,27.22,0.0,1017.27,2023,6,26
12:30:00,70.0,fair,27.22,0.0,1017.27,2023,6,26
13:00:00,78.0,fair,26.11,0.0,1017.27,2023,6,26
13:30:00,83.0,fair,26.11,0.0,1018.29,2023,6,26
14:00:00,78.0,fair,26.11,0.0,1017.27,2023,6,26
14:30:00,78.0,fair,26.11,0.0,1017.27,2023,6,26
15:00:00,74.0,fair,27.22,0.0,1017.27,2023,6,26
15:30:00,79.0,fair,27.22,0.0,1017.27,2023,6,26
16:00:00,74.0,fair,27.22,0.0,1017.27,2023,6,26
16:30:00,79.0,fair,27.22,0.0,1016.26,2023,6,26
17:00:00,79.0,fair,27.22,0.0,1016.26,2023,6,26
17:30:00,74.0,fair,27.22,0.0,1016.26,2023,6,26
18:00:00,79.0,fair,27.22,0.0,1016.26,2023,6,26
18:30:00,74.0,fair,27.22,0.0,1016.26,2023,6,26
19:00:00,74.0,fair,27.22,0.0,1016.26,2023,6,26
19:30:00,74.0,fair,27.22,0.0,1015.24,2023,6,26
