,Date,Hour,condition,temp_farenheit,feels_like_farenheit,precip_percent,precip_inches,cloud_cover_percent,dew_point_farenheit,humidity_percent,wind_vel,pressure_inches
0,2023-06-14,1:00 pm,Mostly Sunny,81ʡF,82ʡF,3ʡ%,0ʡin,21ʡ%,59ʡF,46ʡ%,9ʡmph SE,30.04ʡin
1,2023-06-14,2:00 pm,Mostly Sunny,81ʡF,82ʡF,1ʡ%,0ʡin,23ʡ%,59ʡF,47ʡ%,9ʡmph SSE,30.04ʡin
2,2023-06-14,3:00 pm,Sunny,81ʡF,83ʡF,0ʡ%,0ʡin,17ʡ%,60ʡF,48ʡ%,10ʡmph SSE,30.03ʡin
3,2023-06-14,4:00 pm,Mostly Sunny,79ʡF,81ʡF,0ʡ%,0ʡin,21ʡ%,60ʡF,52ʡ%,10ʡmph SSE,30.03ʡin
4,2023-06-14,5:00 pm,Mostly Sunny,79ʡF,81ʡF,2ʡ%,0ʡin,24ʡ%,60ʡF,53ʡ%,9ʡmph SSE,30.03ʡin
5,2023-06-14,6:00 pm,Sunny,78ʡF,78ʡF,3ʡ%,0ʡin,16ʡ%,60ʡF,54ʡ%,9ʡmph S,30.03ʡin
6,2023-06-14,7:00 pm,Sunny,77ʡF,77ʡF,1ʡ%,0ʡin,9ʡ%,60ʡF,57ʡ%,8ʡmph S,30.02ʡin
7,2023-06-14,8:00 pm,Sunny,76ʡF,76ʡF,1ʡ%,0ʡin,6ʡ%,61ʡF,60ʡ%,7ʡmph SSW,30.03ʡin
8,2023-06-14,9:00 pm,Sunny,73ʡF,74ʡF,2ʡ%,0ʡin,5ʡ%,61ʡF,65ʡ%,5ʡmph SSW,30.04ʡin
9,2023-06-14,10:00 pm,Clear,72ʡF,72ʡF,4ʡ%,0ʡin,9ʡ%,62ʡF,73ʡ%,4ʡmph SSW,30.06ʡin
10,2023-06-14,11:00 pm,Clear,70ʡF,71ʡF,5ʡ%,0ʡin,9ʡ%,62ʡF,76ʡ%,2ʡmph SW,30.07ʡin
11,2023-06-15,1:00 pm,Mostly Sunny,81ʡF,82ʡF,3ʡ%,0ʡin,21ʡ%,59ʡF,46ʡ%,9ʡmph SE,30.04ʡin
12,2023-06-15,2:00 pm,Mostly Sunny,81ʡF,82ʡF,1ʡ%,0ʡin,23ʡ%,59ʡF,47ʡ%,9ʡmph SSE,30.04ʡin
13,2023-06-15,3:00 pm,Sunny,81ʡF,83ʡF,0ʡ%,0ʡin,17ʡ%,60ʡF,48ʡ%,10ʡmph SSE,30.03ʡin
14,2023-06-15,4:00 pm,Mostly Sunny,79ʡF,81ʡF,0ʡ%,0ʡin,21ʡ%,60ʡF,52ʡ%,10ʡmph SSE,30.03ʡin
15,2023-06-15,5:00 pm,Mostly Sunny,79ʡF,81ʡF,2ʡ%,0ʡin,24ʡ%,60ʡF,53ʡ%,9ʡmph SSE,30.03ʡin
16,2023-06-15,6:00 pm,Sunny,78ʡF,78ʡF,3ʡ%,0ʡin,16ʡ%,60ʡF,54ʡ%,9ʡmph S,30.03ʡin
17,2023-06-15,7:00 pm,Sunny,77ʡF,77ʡF,1ʡ%,0ʡin,9ʡ%,60ʡF,57ʡ%,8ʡmph S,30.02ʡin
18,2023-06-15,8:00 pm,Sunny,76ʡF,76ʡF,1ʡ%,0ʡin,6ʡ%,61ʡF,60ʡ%,7ʡmph SSW,30.03ʡin
19,2023-06-15,9:00 pm,Sunny,73ʡF,74ʡF,2ʡ%,0ʡin,5ʡ%,61ʡF,65ʡ%,5ʡmph SSW,30.04ʡin
20,2023-06-15,10:00 pm,Clear,72ʡF,72ʡF,4ʡ%,0ʡin,9ʡ%,62ʡF,73ʡ%,4ʡmph SSW,30.06ʡin
21,2023-06-15,11:00 pm,Clear,70ʡF,71ʡF,5ʡ%,0ʡin,9ʡ%,62ʡF,76ʡ%,2ʡmph SW,30.07ʡin
