,Date,Hour,temp_farenheit,dew_point_farenheit,humidity_percent,wind,wind_vel,wind_gust,pressure_inches,precip_inches,condition
0,2023-06-24,12:00 AM,73ʡF,72ʡF,94ʡ%,SW,6ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
1,2023-06-24,12:30 AM,73ʡF,72ʡF,94ʡ%,WSW,8ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
2,2023-06-24,1:00 AM,73ʡF,70ʡF,88ʡ%,WSW,7ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
3,2023-06-24,1:30 AM,73ʡF,70ʡF,88ʡ%,WSW,8ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
4,2023-06-24,2:00 AM,73ʡF,70ʡF,88ʡ%,WSW,7ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
5,2023-06-24,2:30 AM,72ʡF,70ʡF,94ʡ%,WSW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Mist
6,2023-06-24,3:00 AM,72ʡF,70ʡF,94ʡ%,W,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
7,2023-06-24,3:30 AM,72ʡF,68ʡF,88ʡ%,WNW,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
8,2023-06-24,4:00 AM,72ʡF,68ʡF,88ʡ%,WNW,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
9,2023-06-24,4:30 AM,72ʡF,68ʡF,88ʡ%,W,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
10,2023-06-24,5:00 AM,72ʡF,68ʡF,88ʡ%,W,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
11,2023-06-24,5:30 AM,72ʡF,68ʡF,88ʡ%,WNW,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
12,2023-06-24,6:30 AM,73ʡF,70ʡF,88ʡ%,WSW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
13,2023-06-24,7:00 AM,72ʡF,68ʡF,88ʡ%,WSW,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Partly Cloudy
14,2023-06-24,7:30 AM,72ʡF,68ʡF,88ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
15,2023-06-24,8:00 AM,73ʡF,68ʡF,83ʡ%,WNW,5ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
16,2023-06-24,8:30 AM,75ʡF,70ʡF,83ʡ%,VAR,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
17,2023-06-24,9:00 AM,75ʡF,72ʡF,89ʡ%,WSW,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
18,2023-06-24,9:30 AM,75ʡF,72ʡF,89ʡ%,SSW,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
19,2023-06-24,10:00 AM,75ʡF,72ʡF,89ʡ%,SSW,8ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
20,2023-06-24,10:30 AM,75ʡF,72ʡF,89ʡ%,SSW,9ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
21,2023-06-24,11:00 AM,75ʡF,72ʡF,89ʡ%,SSW,10ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
22,2023-06-24,11:30 AM,75ʡF,70ʡF,83ʡ%,SSW,10ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy
23,2023-06-24,12:00 PM,79ʡF,72ʡF,78ʡ%,SSW,12ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
24,2023-06-24,12:30 PM,79ʡF,72ʡF,78ʡ%,SSW,12ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
25,2023-06-24,1:00 PM,77ʡF,68ʡF,74ʡ%,SSW,13ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
26,2023-06-24,1:30 PM,79ʡF,68ʡF,69ʡ%,SSW,12ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
27,2023-06-24,2:00 PM,81ʡF,70ʡF,70ʡ%,SSW,12ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
28,2023-06-24,2:30 PM,79ʡF,70ʡF,74ʡ%,SSW,12ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
29,2023-06-24,3:00 PM,81ʡF,72ʡF,74ʡ%,SSW,12ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
30,2023-06-24,3:30 PM,81ʡF,70ʡF,70ʡ%,SSW,13ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
31,2023-06-24,4:00 PM,81ʡF,70ʡF,70ʡ%,SSW,13ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
32,2023-06-24,4:30 PM,81ʡF,72ʡF,74ʡ%,SSW,12ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
33,2023-06-24,5:00 PM,81ʡF,66ʡF,61ʡ%,SSW,12ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
34,2023-06-24,5:30 PM,81ʡF,70ʡF,70ʡ%,SW,12ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
35,2023-06-24,6:00 PM,79ʡF,70ʡF,74ʡ%,S,9ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
36,2023-06-24,6:30 PM,79ʡF,72ʡF,78ʡ%,SSE,8ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
37,2023-06-24,7:00 PM,77ʡF,72ʡF,83ʡ%,S,8ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
38,2023-06-24,7:30 PM,77ʡF,72ʡF,83ʡ%,SSE,7ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
39,2023-06-24,8:00 PM,77ʡF,70ʡF,78ʡ%,SE,6ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
40,2023-06-24,8:30 PM,77ʡF,72ʡF,83ʡ%,SSE,6ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
41,2023-06-24,9:00 PM,75ʡF,70ʡF,83ʡ%,ESE,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
42,2023-06-24,9:30 PM,75ʡF,70ʡF,83ʡ%,ESE,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
43,2023-06-24,10:00 PM,75ʡF,70ʡF,83ʡ%,ESE,3ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
44,2023-06-24,10:30 PM,75ʡF,72ʡF,89ʡ%,ESE,3ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
45,2023-06-24,11:00 PM,75ʡF,72ʡF,89ʡ%,SE,2ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
46,2023-06-24,11:30 PM,75ʡF,72ʡF,89ʡ%,SE,1ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
47,2023-06-25,12:00 AM,75ʡF,72ʡF,89ʡ%,SE,1ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
48,2023-06-25,12:30 AM,75ʡF,70ʡF,83ʡ%,VAR,1ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
49,2023-06-25,1:00 AM,73ʡF,72ʡF,94ʡ%,VAR,2ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
50,2023-06-25,1:30 AM,72ʡF,68ʡF,88ʡ%,WSW,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
51,2023-06-25,2:00 AM,70ʡF,68ʡF,94ʡ%,W,5ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
52,2023-06-25,2:30 AM,72ʡF,68ʡF,88ʡ%,W,7ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
53,2023-06-25,3:00 AM,72ʡF,66ʡF,83ʡ%,W,8ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
54,2023-06-25,3:30 AM,72ʡF,66ʡF,83ʡ%,W,8ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
