,Date,Hour,condition,temp_farenheit,feels_like_farenheit,precip_percent,precip_inches,cloud_cover_percent,dew_point_farenheit,humidity_percent,wind_vel,pressure_inches
0,2023-06-26,8:00 pm,Mostly Sunny,81ʡF,83ʡF,1ʡ%,0ʡin,21ʡ%,65ʡF,58ʡ%,9ʡmph SSW,30.05ʡin
1,2023-06-26,9:00 pm,Mostly Sunny,78ʡF,81ʡF,2ʡ%,0ʡin,27ʡ%,65ʡF,63ʡ%,7ʡmph SW,30.06ʡin
2,2023-06-26,10:00 pm,Clear,76ʡF,76ʡF,1ʡ%,0ʡin,19ʡ%,65ʡF,68ʡ%,6ʡmph SW,30.07ʡin
3,2023-06-26,11:00 pm,Clear,76ʡF,76ʡF,1ʡ%,0ʡin,18ʡ%,65ʡF,67ʡ%,3ʡmph WSW,30.08ʡin
4,2023-06-27,12:00 am,Clear,75ʡF,75ʡF,2ʡ%,0ʡin,16ʡ%,64ʡF,69ʡ%,3ʡmph W,30.08ʡin
5,2023-06-27,1:00 am,Clear,74ʡF,74ʡF,2ʡ%,0ʡin,14ʡ%,64ʡF,72ʡ%,2ʡmph NW,30.07ʡin
6,2023-06-27,2:00 am,Clear,73ʡF,73ʡF,1ʡ%,0ʡin,14ʡ%,63ʡF,70ʡ%,3ʡmph NNW,30.07ʡin
7,2023-06-27,3:00 am,Clear,73ʡF,73ʡF,2ʡ%,0ʡin,12ʡ%,62ʡF,69ʡ%,3ʡmph N,30.06ʡin
8,2023-06-27,4:00 am,Clear,71ʡF,71ʡF,3ʡ%,0ʡin,5ʡ%,61ʡF,72ʡ%,3ʡmph N,30.06ʡin
9,2023-06-27,5:00 am,Clear,70ʡF,71ʡF,3ʡ%,0ʡin,10ʡ%,62ʡF,76ʡ%,3ʡmph N,30.05ʡin
10,2023-06-27,6:00 am,Clear,69ʡF,70ʡF,3ʡ%,0ʡin,12ʡ%,63ʡF,81ʡ%,3ʡmph N,30.05ʡin
11,2023-06-27,7:00 am,Sunny,70ʡF,71ʡF,3ʡ%,0ʡin,10ʡ%,63ʡF,79ʡ%,4ʡmph N,30.06ʡin
12,2023-06-27,8:00 am,Sunny,73ʡF,74ʡF,3ʡ%,0ʡin,10ʡ%,63ʡF,71ʡ%,3ʡmph N,30.06ʡin
13,2023-06-27,9:00 am,Sunny,77ʡF,80ʡF,2ʡ%,0ʡin,9ʡ%,64ʡF,65ʡ%,3ʡmph N,30.07ʡin
14,2023-06-27,10:00 am,Sunny,80ʡF,82ʡF,1ʡ%,0ʡin,6ʡ%,64ʡF,59ʡ%,5ʡmph S,30.07ʡin
15,2023-06-27,11:00 am,Sunny,81ʡF,84ʡF,0ʡ%,0ʡin,7ʡ%,65ʡF,58ʡ%,6ʡmph SSE,30.07ʡin
16,2023-06-27,12:00 pm,Sunny,82ʡF,85ʡF,0ʡ%,0ʡin,4ʡ%,65ʡF,56ʡ%,9ʡmph SSE,30.07ʡin
17,2023-06-27,1:00 pm,Sunny,84ʡF,86ʡF,0ʡ%,0ʡin,5ʡ%,64ʡF,52ʡ%,10ʡmph S,30.06ʡin
18,2023-06-27,2:00 pm,Sunny,85ʡF,87ʡF,1ʡ%,0ʡin,6ʡ%,63ʡF,48ʡ%,12ʡmph S,30.05ʡin
19,2023-06-27,3:00 pm,Sunny,84ʡF,87ʡF,2ʡ%,0ʡin,16ʡ%,63ʡF,49ʡ%,13ʡmph S,30.04ʡin
20,2023-06-27,4:00 pm,Partly Cloudy,84ʡF,87ʡF,3ʡ%,0ʡin,31ʡ%,63ʡF,49ʡ%,12ʡmph S,30.02ʡin
21,2023-06-27,5:00 pm,Partly Cloudy,84ʡF,86ʡF,2ʡ%,0ʡin,47ʡ%,64ʡF,51ʡ%,12ʡmph S,30.01ʡin
22,2023-06-27,6:00 pm,Partly Cloudy,83ʡF,85ʡF,3ʡ%,0ʡin,58ʡ%,64ʡF,53ʡ%,11ʡmph S,30.00ʡin
23,2023-06-27,7:00 pm,Mostly Cloudy,81ʡF,83ʡF,4ʡ%,0ʡin,61ʡ%,64ʡF,57ʡ%,10ʡmph S,29.99ʡin
24,2023-06-27,8:00 pm,Mostly Cloudy,79ʡF,82ʡF,5ʡ%,0ʡin,67ʡ%,65ʡF,63ʡ%,8ʡmph SSW,29.99ʡin
25,2023-06-27,9:00 pm,Mostly Cloudy,77ʡF,80ʡF,3ʡ%,0ʡin,69ʡ%,65ʡF,67ʡ%,6ʡmph SSW,29.99ʡin
26,2023-06-27,10:00 pm,Mostly Cloudy,76ʡF,79ʡF,5ʡ%,0ʡin,64ʡ%,66ʡF,72ʡ%,4ʡmph S,30.00ʡin
27,2023-06-27,11:00 pm,Partly Cloudy,75ʡF,76ʡF,6ʡ%,0ʡin,53ʡ%,67ʡF,76ʡ%,3ʡmph SSW,30.01ʡin
