,Date,Hour,condition,temp_farenheit,feels_like_farenheit,precip_percent,precip_inches,cloud_cover_percent,dew_point_farenheit,humidity_percent,wind_vel,pressure_inches
0,2023-09-28,10:00 am,Partly Cloudy,68ʡF,68ʡF,2ʡ%,0ʡin,47ʡ%,62ʡF,80ʡ%,4ʡmph W,30.13ʡin
1,2023-09-28,11:00 am,Partly Cloudy,73ʡF,73ʡF,1ʡ%,0ʡin,49ʡ%,64ʡF,74ʡ%,5ʡmph SW,30.13ʡin
2,2023-09-28,12:00 pm,Partly Cloudy,75ʡF,75ʡF,1ʡ%,0ʡin,38ʡ%,64ʡF,67ʡ%,7ʡmph SSW,30.13ʡin
3,2023-09-28,1:00 pm,Mostly Sunny,78ʡF,78ʡF,1ʡ%,0ʡin,27ʡ%,64ʡF,64ʡ%,9ʡmph SSW,30.11ʡin
4,2023-09-28,2:00 pm,Partly Cloudy,78ʡF,81ʡF,0ʡ%,0ʡin,30ʡ%,64ʡF,63ʡ%,11ʡmph SSW,30.10ʡin
5,2023-09-28,3:00 pm,Partly Cloudy,78ʡF,81ʡF,0ʡ%,0ʡin,37ʡ%,64ʡF,61ʡ%,12ʡmph SSW,30.09ʡin
6,2023-09-28,4:00 pm,Partly Cloudy,78ʡF,81ʡF,0ʡ%,0ʡin,32ʡ%,63ʡF,61ʡ%,12ʡmph SSW,30.08ʡin
7,2023-09-28,5:00 pm,Partly Cloudy,77ʡF,80ʡF,0ʡ%,0ʡin,38ʡ%,63ʡF,63ʡ%,12ʡmph SW,30.07ʡin
8,2023-09-28,6:00 pm,Partly Cloudy,76ʡF,77ʡF,2ʡ%,0ʡin,37ʡ%,64ʡF,66ʡ%,12ʡmph SW,30.07ʡin
9,2023-09-28,7:00 pm,Sunny,74ʡF,75ʡF,5ʡ%,0ʡin,16ʡ%,64ʡF,71ʡ%,10ʡmph SW,30.07ʡin
10,2023-09-28,8:00 pm,Clear,72ʡF,74ʡF,7ʡ%,0ʡin,10ʡ%,65ʡF,78ʡ%,9ʡmph SW,30.09ʡin
11,2023-09-28,9:00 pm,Clear,71ʡF,72ʡF,11ʡ%,0ʡin,6ʡ%,65ʡF,84ʡ%,7ʡmph WSW,30.10ʡin
12,2023-09-28,10:00 pm,Clear,70ʡF,71ʡF,12ʡ%,0ʡin,3ʡ%,65ʡF,87ʡ%,6ʡmph WSW,30.12ʡin
13,2023-09-28,11:00 pm,Clear,68ʡF,70ʡF,12ʡ%,0ʡin,3ʡ%,65ʡF,90ʡ%,5ʡmph W,30.13ʡin
14,2023-09-29,12:00 am,Clear,67ʡF,68ʡF,12ʡ%,0ʡin,2ʡ%,64ʡF,90ʡ%,4ʡmph W,30.13ʡin
15,2023-09-29,1:00 am,Clear,66ʡF,67ʡF,12ʡ%,0ʡin,1ʡ%,63ʡF,91ʡ%,5ʡmph W,30.13ʡin
16,2023-09-29,2:00 am,Clear,65ʡF,66ʡF,12ʡ%,0ʡin,6ʡ%,63ʡF,90ʡ%,5ʡmph WNW,30.13ʡin
17,2023-09-29,3:00 am,Clear,65ʡF,65ʡF,12ʡ%,0ʡin,9ʡ%,62ʡF,89ʡ%,5ʡmph WNW,30.13ʡin
18,2023-09-29,4:00 am,Clear,64ʡF,64ʡF,12ʡ%,0ʡin,4ʡ%,61ʡF,89ʡ%,5ʡmph WNW,30.13ʡin
19,2023-09-29,5:00 am,Clear,64ʡF,64ʡF,11ʡ%,0ʡin,4ʡ%,60ʡF,88ʡ%,5ʡmph NW,30.13ʡin
20,2023-09-29,6:00 am,Clear,63ʡF,63ʡF,11ʡ%,0ʡin,2ʡ%,58ʡF,85ʡ%,4ʡmph NW,30.13ʡin
21,2023-09-29,7:00 am,Clear,62ʡF,62ʡF,9ʡ%,0ʡin,1ʡ%,57ʡF,83ʡ%,4ʡmph NW,30.14ʡin
22,2023-09-29,8:00 am,Sunny,62ʡF,62ʡF,9ʡ%,0ʡin,2ʡ%,57ʡF,83ʡ%,4ʡmph NW,30.16ʡin
23,2023-09-29,9:00 am,Sunny,66ʡF,66ʡF,5ʡ%,0ʡin,1ʡ%,57ʡF,72ʡ%,4ʡmph NNW,30.18ʡin
24,2023-09-29,10:00 am,Sunny,71ʡF,71ʡF,2ʡ%,0ʡin,0ʡ%,58ʡF,63ʡ%,3ʡmph NW,30.19ʡin
25,2023-09-29,11:00 am,Sunny,75ʡF,75ʡF,0ʡ%,0ʡin,0ʡ%,60ʡF,59ʡ%,2ʡmph WNW,30.20ʡin
26,2023-09-29,12:00 pm,Sunny,78ʡF,81ʡF,0ʡ%,0ʡin,0ʡ%,61ʡF,55ʡ%,3ʡmph SSW,30.20ʡin
27,2023-09-29,1:00 pm,Sunny,80ʡF,82ʡF,0ʡ%,0ʡin,0ʡ%,63ʡF,56ʡ%,6ʡmph S,30.19ʡin
28,2023-09-29,2:00 pm,Sunny,80ʡF,83ʡF,0ʡ%,0ʡin,0ʡ%,64ʡF,59ʡ%,8ʡmph S,30.19ʡin
29,2023-09-29,3:00 pm,Sunny,80ʡF,83ʡF,0ʡ%,0ʡin,0ʡ%,64ʡF,59ʡ%,9ʡmph S,30.18ʡin
30,2023-09-29,4:00 pm,Sunny,80ʡF,83ʡF,0ʡ%,0ʡin,0ʡ%,64ʡF,58ʡ%,8ʡmph S,30.18ʡin
31,2023-09-29,5:00 pm,Sunny,79ʡF,82ʡF,0ʡ%,0ʡin,0ʡ%,64ʡF,59ʡ%,8ʡmph S,30.17ʡin
32,2023-09-29,6:00 pm,Sunny,79ʡF,81ʡF,0ʡ%,0ʡin,0ʡ%,63ʡF,60ʡ%,7ʡmph SSW,30.17ʡin
33,2023-09-29,7:00 pm,Sunny,77ʡF,80ʡF,2ʡ%,0ʡin,0ʡ%,64ʡF,65ʡ%,6ʡmph SSW,30.18ʡin
34,2023-09-29,8:00 pm,Clear,74ʡF,75ʡF,7ʡ%,0ʡin,0ʡ%,65ʡF,74ʡ%,4ʡmph SW,30.19ʡin
35,2023-09-29,9:00 pm,Clear,72ʡF,73ʡF,9ʡ%,0ʡin,0ʡ%,65ʡF,78ʡ%,3ʡmph WSW,30.20ʡin
36,2023-09-29,10:00 pm,Clear,71ʡF,72ʡF,9ʡ%,0ʡin,1ʡ%,64ʡF,81ʡ%,3ʡmph W,30.21ʡin
37,2023-09-29,11:00 pm,Clear,69ʡF,70ʡF,11ʡ%,0ʡin,3ʡ%,63ʡF,82ʡ%,3ʡmph WNW,30.22ʡin
