id,type,ebox_id,lat,lon,coordinates,zone
AA0000019659,light,BB0005190122,41.271648,1.697283,"{'lat': 41.271648, 'lon': 1.697283}",south_west
AA000001965A,light,BB0005190122,41.272864,1.697102,"{'lat': 41.272864, 'lon': 1.697102}",south_west
AA000001965B,light,BB0005190122,41.2722,1.698273,"{'lat': 41.2722, 'lon': 1.698273}",south_west
AA000001965C,light,BB0005190122,41.272048,1.697997,"{'lat': 41.272048, 'lon': 1.697997}",south_west
AA000001965D,light,BB0005190122,41.2719,1.697696,"{'lat': 41.2719, 'lon': 1.697696}",south_west
AA000001965E,light,BB0005190122,41.273616,1.696922,"{'lat': 41.273616, 'lon': 1.696922}",south_west
AA000001965F,light,BB0005190122,41.2734,1.696753,"{'lat': 41.2734, 'lon': 1.696753}",south_west
AA0000019660,light,BB0005190122,41.273812,1.697545,"{'lat': 41.273812, 'lon': 1.697545}",south_west
AA0000019661,light,BB0005190122,41.273872,1.69785,"{'lat': 41.273872, 'lon': 1.69785}",south_west
AA0000019662,light,BB0005190122,41.273932,1.698178,"{'lat': 41.273932, 'lon': 1.698178}",south_west
AA0000019664,light,BB0005190122,41.271368,1.697216,"{'lat': 41.271368, 'lon': 1.697216}",south_west
AA0000019665,light,BB0005190122,41.271152,1.697285,"{'lat': 41.271152, 'lon': 1.697285}",south_west
AA0000019666,light,BB0005190122,41.270608,1.697759,"{'lat': 41.270608, 'lon': 1.697759}",south_west
AA0000019667,light,BB0005190122,41.270388,1.697998,"{'lat': 41.270388, 'lon': 1.697998}",south_west
AA0000019668,light,BB0005190122,41.270224,1.698091,"{'lat': 41.270224, 'lon': 1.698091}",south_west
AA0000019669,light,BB0005190122,41.270028,1.698203,"{'lat': 41.270028, 'lon': 1.698203}",south_west
AA000001966A,light,BB0005190122,41.270984,1.697449,"{'lat': 41.270984, 'lon': 1.697449}",south_west
AA000001966B,light,BB0005190122,41.27078,1.697579,"{'lat': 41.27078, 'lon': 1.697579}",south_west
AA000001966C,light,BB0005190122,41.270648,1.69757,"{'lat': 41.270648, 'lon': 1.69757}",south_west
AA000001966D,light,BB0005190122,41.270772,1.697181,"{'lat': 41.270772, 'lon': 1.697181}",south_west
AA000001966E,light,BB0005190122,41.270844,1.696891,"{'lat': 41.270844, 'lon': 1.696891}",south_west
AA000001966F,light,BB0005190122,41.272512,1.697499,"{'lat': 41.272512, 'lon': 1.697499}",south_west
AA0000019670,light,BB0005190122,41.27234,1.697165,"{'lat': 41.27234, 'lon': 1.697165}",south_west
AA0000019671,light,BB0005190122,41.272204,1.696919,"{'lat': 41.272204, 'lon': 1.696919}",south_west
AA0000019672,light,BB0005190122,41.27208,1.696707,"{'lat': 41.27208, 'lon': 1.696707}",south_west
AA0000019673,light,BB0005190122,41.271856,1.696517,"{'lat': 41.271856, 'lon': 1.696517}",south_west
AA0000019674,light,BB0005190122,41.271604,1.696461,"{'lat': 41.271604, 'lon': 1.696461}",south_west
AA0000019675,light,BB0005190122,41.271304,1.696451,"{'lat': 41.271304, 'lon': 1.696451}",south_west
AA0000019676,light,BB0005190122,41.271056,1.696529,"{'lat': 41.271056, 'lon': 1.696529}",south_west
AA0000019678,light,BB0005190122,41.272368,1.698917,"{'lat': 41.272368, 'lon': 1.698917}",south_west
AA0000019679,light,BB0005190122,41.27258,1.69885,"{'lat': 41.27258, 'lon': 1.69885}",south_west
AA000001967A,light,BB0005190122,41.271852,1.701971,"{'lat': 41.271852, 'lon': 1.701971}",south_west
AA000001967B,light,BB0005190122,41.271848,1.702295,"{'lat': 41.271848, 'lon': 1.702295}",south_west
AA000001967D,light,AA000001128F,41.28708,1.722981,"{'lat': 41.28708, 'lon': 1.722981}",center
AA000001967E,light,BB0005190122,41.271072,1.702995,"{'lat': 41.271072, 'lon': 1.702995}",south_west
AA0000019682,light,BB0005190122,41.274268,1.69993,"{'lat': 41.274268, 'lon': 1.69993}",south_west
AA0000019683,light,BB0005190122,41.274272,1.700245,"{'lat': 41.274272, 'lon': 1.700245}",south_west
AA0000019684,light,BB0005190122,41.272976,1.698756,"{'lat': 41.272976, 'lon': 1.698756}",south_west
AA0000019685,light,BB0005190122,41.273224,1.698649,"{'lat': 41.273224, 'lon': 1.698649}",south_west
AA0000019686,light,BB0005190122,41.27344,1.698579,"{'lat': 41.27344, 'lon': 1.698579}",south_west
AA0000019687,light,BB0005190122,41.27368,1.698441,"{'lat': 41.27368, 'lon': 1.698441}",south_west
AA0000019688,light,BB0005190122,41.273924,1.698451,"{'lat': 41.273924, 'lon': 1.698451}",south_west
AA0000019689,light,BB0005190122,41.274016,1.698626,"{'lat': 41.274016, 'lon': 1.698626}",south_west
AA000001968A,light,BB0005190122,41.271884,1.702577,"{'lat': 41.271884, 'lon': 1.702577}",south_west
AA000001968B,light,BB0005190122,41.27216,1.698978,"{'lat': 41.27216, 'lon': 1.698978}",south_west
AA000001968C,light,BB0005190122,41.274092,1.698988,"{'lat': 41.274092, 'lon': 1.698988}",south_west
AA000001968D,light,BB0005190122,41.274156,1.699328,"{'lat': 41.274156, 'lon': 1.699328}",south_west
AA000001968E,light,BB0005190122,41.2742,1.699603,"{'lat': 41.2742, 'lon': 1.699603}",south_west
AA000001968F,light,BB0005190122,41.26912,1.699285,"{'lat': 41.26912, 'lon': 1.699285}",south_west
AA0000019690,light,BB0005190122,41.27434,1.700534,"{'lat': 41.27434, 'lon': 1.700534}",south_west
AA0000019691,light,BB0005190122,41.274388,1.700795,"{'lat': 41.274388, 'lon': 1.700795}",south_west
AA0000019692,light,BB0005190122,41.274448,1.701145,"{'lat': 41.274448, 'lon': 1.701145}",south_west
AA0000019693,light,BB0005190122,41.274488,1.70141,"{'lat': 41.274488, 'lon': 1.70141}",south_west
AA0000019694,light,BB0005190122,41.27452,1.701719,"{'lat': 41.27452, 'lon': 1.701719}",south_west
AA0000019695,light,BB0005190122,41.27438,1.699483,"{'lat': 41.27438, 'lon': 1.699483}",south_west
AA0000019696,light,BB0005190122,41.276476,1.699649,"{'lat': 41.276476, 'lon': 1.699649}",south_west
AA0000019697,light,BB0005190122,41.276736,1.699774,"{'lat': 41.276736, 'lon': 1.699774}",south_west
AA0000019698,light,BB0005190122,41.277,1.69993,"{'lat': 41.277, 'lon': 1.69993}",south_west
AA0000019699,light,BB0005190122,41.27724,1.699944,"{'lat': 41.27724, 'lon': 1.699944}",south_west
AA000001969A,light,BB0005190122,41.274688,1.699302,"{'lat': 41.274688, 'lon': 1.699302}",south_west
AA000001969B,light,BB0005190122,41.274868,1.699123,"{'lat': 41.274868, 'lon': 1.699123}",south_west
AA000001969C,light,BB0005190122,41.275084,1.699118,"{'lat': 41.275084, 'lon': 1.699118}",south_west
AA000001969D,light,BB0005190122,41.275416,1.699275,"{'lat': 41.275416, 'lon': 1.699275}",south_west
AA000001969E,light,BB0005190122,41.275552,1.699529,"{'lat': 41.275552, 'lon': 1.699529}",south_west
AA000001969F,light,BB0005190122,41.275752,1.699724,"{'lat': 41.275752, 'lon': 1.699724}",south_west
AA00000196A0,light,BB0005190122,41.275212,1.699848,"{'lat': 41.275212, 'lon': 1.699848}",south_west
AA00000196A1,light,BB0005190122,41.275376,1.699744,"{'lat': 41.275376, 'lon': 1.699744}",south_west
AA00000196A2,light,BB0005190122,41.277456,1.699991,"{'lat': 41.277456, 'lon': 1.699991}",south_west
AA00000196A3,light,BB0005190122,41.277384,1.700234,"{'lat': 41.277384, 'lon': 1.700234}",south_west
AA00000196A4,light,BB0005190122,41.277128,1.700345,"{'lat': 41.277128, 'lon': 1.700345}",south_west
AA00000196A5,light,BB0005190122,41.274416,1.700298,"{'lat': 41.274416, 'lon': 1.700298}",south_west
AA00000196A6,light,BB0005190122,41.274612,1.700165,"{'lat': 41.274612, 'lon': 1.700165}",south_west
AA00000196A7,light,BB0005190122,41.274864,1.700038,"{'lat': 41.274864, 'lon': 1.700038}",south_west
AA00000196A8,light,BB0005190122,41.276068,1.699833,"{'lat': 41.276068, 'lon': 1.699833}",south_west
